Model name,Parent model 1,Parent model 2,Crossover ratio,Crossover function,Mutation ratio,Mutation function
'ga_generation_1_nn_7', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_9.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_8', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_9.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_9', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_27.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_10', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_27.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_11', 'ga_generation_0_nn_27.keras', 'ga_generation_0_nn_4.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_12', 'ga_generation_0_nn_27.keras', 'ga_generation_0_nn_4.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_13', 'ga_generation_0_nn_18.keras', 'ga_generation_0_nn_9.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_14', 'ga_generation_0_nn_18.keras', 'ga_generation_0_nn_9.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_15', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_9.keras', '1.0', '__average_crossover_and_flat_crossover', '0.0', 'None'
'ga_generation_1_nn_16', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_9.keras', '1.0', '__average_crossover_and_flat_crossover', '0.0', 'None'
'ga_generation_1_nn_17', 'ga_generation_0_nn_27.keras', 'ga_generation_0_nn_4.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_18', 'ga_generation_0_nn_27.keras', 'ga_generation_0_nn_4.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_19', 'ga_generation_0_nn_27.keras', 'ga_generation_0_nn_18.keras', '1.0', '__average_crossover_and_flat_crossover', '0.0', 'None'
'ga_generation_1_nn_20', 'ga_generation_0_nn_27.keras', 'ga_generation_0_nn_18.keras', '1.0', '__average_crossover_and_flat_crossover', '0.0', 'None'
'ga_generation_1_nn_21', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_9.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_22', 'ga_generation_0_nn_22.keras', 'ga_generation_0_nn_9.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_23', 'ga_generation_0_nn_18.keras', 'ga_generation_0_nn_12.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_24', 'ga_generation_0_nn_18.keras', 'ga_generation_0_nn_12.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_25', 'ga_generation_0_nn_9.keras', 'ga_generation_0_nn_27.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
